ID;Titulo;Edad Minima;Edad Maxima;Instrumento;Objetivo;Duracion;Instrucciones
ACT 220;El Tren de los Colores;3;4;Ninguno;Trabajar asociación visual, movimiento y seguimiento de instrucciones.;8 minutos;Colocar tarjetas de colores formando un recorrido. Cada color representa una acción sencilla: caminar, saltar, girar o detenerse. Los niños recorren el camino siguiendo los colores.
ACT 221;El Desfile de los Sonidos;3;4;Ninguno;Estimular expresión corporal y exploración vocal.;10 minutos;Cada niño elige un sonido sencillo y una forma de caminar. Todos realizan un pequeño desfile mientras producen su sonido y observan las creaciones de sus compañeros.
ACT 222;La Casita Musical;3;4;Ninguno;Relacionar sonidos con espacios y acciones cotidianas.;10 minutos;Crear diferentes zonas imaginarias del salón como cocina, dormitorio y jardín. El docente propone una acción y los niños producen un sonido apropiado para ese lugar.
ACT 223;El Paraguas Musical;3;4;Ninguno;Desarrollar reacción corporal ante cambios de sonido.;8 minutos;Los niños imaginan que llevan un paraguas. Cuando escuchan sonidos suaves caminan tranquilamente bajo la lluvia y cuando escuchan sonidos fuertes abren rápidamente el paraguas y se protegen.
ACT 224;Los Zapatos Musicales;3;4;Ninguno;Explorar diferentes formas de desplazamiento relacionadas con música.;8 minutos;Los niños imaginan que tienen diferentes zapatos: gigantes, pequeños, pegajosos, saltarines y silenciosos. El docente cambia la música y anuncia qué zapatos deben utilizar.
ACT 225;La Bolsa de Movimientos;3;4;Ninguno;Estimular elección individual y variedad de movimientos.;10 minutos;Colocar imágenes de movimientos sencillos dentro de una bolsa. Cada niño extrae una imagen y realiza el movimiento durante unos segundos mientras el resto lo acompaña.
ACT 226;El Jardín Musical;3;4;Ninguno;Desarrollar control corporal y exploración de movimientos lentos y rápidos.;8 minutos;Los niños imaginan que son semillas. Empiezan agachados y crecen lentamente mientras suena música hasta convertirse en flores que se mueven con el viento.
ACT 227;La Comida que Canta;3;4;Ninguno;Estimular imaginación, lenguaje y exploración vocal.;10 minutos;El docente muestra imágenes de alimentos. Cada alimento recibe una forma diferente de cantar su nombre: largo, corto, agudo, grave o susurrado.
ACT 228;El Semillero de Ritmos;5;6;Percusión corporal;Construir patrones rítmicos sencillos a partir de elementos individuales.;12 minutos;Cada niño recibe una tarjeta con una acción como palmada, pisada o golpe en las piernas. Los niños se organizan en fila y cada uno aporta su acción para crear una secuencia.
ACT 229;Las Torres Musicales;5;6;Ninguno;Desarrollar memoria y asociación entre símbolos y acciones musicales.;15 minutos;Utilizar bloques de construcción de diferentes colores. Cada color representa una acción musical. El docente construye una torre y los niños interpretan las acciones siguiendo el orden de los bloques.
ACT 230;El Bingo de Movimientos;5;6;Ninguno;Reforzar seguimiento de instrucciones y reconocimiento visual.;15 minutos;Entregar cartones con imágenes de movimientos. El docente muestra o realiza una acción y los niños buscan la imagen correspondiente. Gana quien complete primero una fila.
ACT 231;La Carrera de Parejas Musicales;5;6;Ninguno;Desarrollar cooperación y coordinación entre compañeros.;12 minutos;Formar parejas. Cada pareja debe recorrer un pequeño circuito manteniendo una pelota entre sus hombros o manos mientras sigue un pulso marcado por el docente.
ACT 232;La Fábrica de Ritmos con Bloques;5;6;Percusión corporal;Representar visualmente la duración y orden de pequeños patrones.;15 minutos;Asignar un bloque largo a sonidos largos y bloques pequeños a sonidos cortos. Los niños construyen pequeñas filas con bloques y luego interpretan el patrón representado.
ACT 233;El Menú de Voces;5;6;Ninguno;Explorar diferentes formas de utilizar la voz sin forzarla.;10 minutos;Crear un menú con opciones como voz de gigante, voz de hormiga, voz de robot y voz de viento. Los niños eligen una opción y cantan o pronuncian una palabra utilizando esa característica.
ACT 234;La Carrera de Clasificación Sonora;5;6;Instrumentos variados;Desarrollar capacidad para clasificar sonidos según características simples.;15 minutos;"Colocar dos cajas identificadas como ""sonidos suaves"" y ""sonidos fuertes"". El docente produce diferentes sonidos y los niños deben llevar una tarjeta hacia la caja correspondiente."
ACT 235;El Mercado de Movimientos;5;6;Ninguno;Desarrollar autonomía y elección dentro de una actividad musical.;15 minutos;"Preparar tarjetas con movimientos. Cada niño recibe tres fichas y puede ""comprar"" los movimientos que quiera utilizar. Después combina los movimientos adquiridos en una pequeña secuencia."
ACT 236;La Casa de los Ecos;5;6;Ninguno;Desarrollar memoria y reproducción de pequeñas frases vocales.;10 minutos;El docente pronuncia palabras o sonidos cortos desde una esquina del salón. Los niños responden desde el lado contrario como si fueran el eco de una casa.
ACT 237;El Constructor de Canciones con Dibujos;5;6;Ninguno;Crear pequeñas frases musicales utilizando estímulos visuales.;15 minutos;Mostrar tres o cuatro dibujos consecutivos. Los niños inventan una pequeña frase cantada que incluya los elementos representados por las imágenes.
ACT 238;La Bolsa de Restricciones;7;8;Ninguno;Desarrollar creatividad mediante creación musical con limitaciones.;15 minutos;Cada niño extrae dos tarjetas con restricciones como utilizar solo tres sonidos, no usar palabras o utilizar únicamente sonidos largos. Debe crear una pequeña pieza respetando ambas reglas.
ACT 239;El Relevo de Compositores;7;8;Percusión corporal;Desarrollar composición colaborativa y continuidad de ideas musicales.;20 minutos;Los niños trabajan por equipos. El primer participante crea un pequeño patrón y pasa el turno al siguiente, quien debe agregar un elemento sin eliminar lo anterior.
ACT 240;El Rompecódigo Musical;7;8;Percusión corporal;Desarrollar pensamiento lógico y asociación entre símbolos y sonidos.;15 minutos;Crear una clave donde figuras geométricas representen diferentes sonidos. Los equipos reciben secuencias de figuras y deben descifrarlas antes de interpretarlas.
ACT 241;La Carrera de Estaciones Rítmicas;7;8;Percusión corporal;Practicar diferentes habilidades rítmicas mediante estaciones rotativas.;20 minutos;Preparar cuatro estaciones con retos distintos: mantener pulso, reproducir una secuencia, completar un patrón y crear un ritmo. Los equipos cambian de estación cada pocos minutos.
ACT 242;La Subasta de Canciones;7;8;Ninguno;Desarrollar argumentación, memoria musical y toma de decisiones.;20 minutos;"Presentar situaciones como una fiesta, un momento de descanso o un viaje. Los equipos reciben fichas y deben ""apostar"" por la canción que consideran más adecuada, explicando su elección."
ACT 243;El Intruso Musical;7;8;Instrumentos variados;Desarrollar observación y reconocimiento de categorías musicales.;15 minutos;Mostrar cuatro instrumentos o imágenes donde tres tengan una característica común y uno sea diferente. Los niños deben identificar el intruso y explicar qué criterio utilizaron.
ACT 244;La Partitura de Símbolos;7;8;Percusión corporal;Introducir representación gráfica de patrones musicales.;20 minutos;Los niños inventan símbolos para representar sonidos corporales. Después escriben una pequeña secuencia utilizando sus símbolos y se la entregan a otro compañero para que la interprete.
ACT 245;El Reto de los Tres Sonidos;7;8;Ninguno;Estimular creatividad y composición bajo restricciones específicas.;15 minutos;Cada niño debe crear una composición utilizando únicamente tres sonidos diferentes. Puede repetirlos, cambiar su duración y orden, pero no añadir sonidos nuevos.
ACT 246;La Ruleta de Roles;7;8;Instrumentos variados;Explorar diferentes responsabilidades dentro de una interpretación grupal.;15 minutos;Crear una ruleta con roles como director, percusionista, cantante, encargado de silencios y creador de efectos. Los niños giran y asumen el rol que les corresponda.
ACT 247;El Puzzle de la Canción Perdida;7;8;Ninguno;Reconocer estructura y orden de diferentes partes musicales.;20 minutos;Preparar tarjetas que representen introducción, verso, coro y final. Los equipos escuchan una canción y deben organizar las tarjetas en el orden en que aparecen.
ACT 248;El Juego de las Respuestas Incorrectas;7;8;Ninguno;Desarrollar atención y capacidad para detectar información musical incorrecta.;15 minutos;El docente realiza afirmaciones musicales, algunas correctas y otras deliberadamente incorrectas. Los niños deben decidir si cada afirmación es verdadera o falsa y justificar su respuesta.
ACT 249;El Diseñador de Ritmos;9;10;Percusión corporal;Desarrollar composición rítmica estructurada y pensamiento musical.;20 minutos;Cada niño diseña un patrón de cuatro tiempos utilizando diferentes sonidos corporales. Después escribe o representa visualmente su patrón y lo intercambia con un compañero para que lo interprete.
ACT 250;El Duelo de Improvisación por Turnos;9;10;Percusión corporal;Desarrollar improvisación y capacidad de responder musicalmente a otro participante.;20 minutos;Formar parejas. Un participante crea una frase rítmica y el otro debe responder manteniendo alguna característica del patrón original pero introduciendo una variación propia.
ACT 251;El Arquitecto Musical;9;10;Ninguno;Comprender estructura y organización mediante planificación de una pieza musical.;25 minutos;Los equipos reciben tarjetas de secciones como introducción, desarrollo, repetición, contraste y final. Deben diseñar una estructura y decidir qué sonidos utilizarán en cada sección.
ACT 252;La Investigación del Instrumento Misterioso;9;10;Instrumentos variados;Desarrollar investigación, observación y presentación oral sobre instrumentos.;25 minutos;Cada equipo recibe un instrumento sin conocer su nombre. Debe observarlo, investigar o deducir cómo se toca, qué material lo compone y cómo podría producir sonido. Después presenta sus conclusiones.
ACT 253;La Cámara de Decisiones Musicales;9;10;Ninguno;Desarrollar pensamiento crítico y argumentación sobre decisiones musicales.;20 minutos;"Presentar una situación como ""una canción necesita un final"". Cada equipo recibe varias alternativas y debe discutir cuál elegiría, justificando musicalmente su decisión."
ACT 254;El Director sin Sonido;9;10;Instrumentos de percusión;Desarrollar liderazgo y comunicación no verbal.;15 minutos;Un niño dirige un pequeño grupo utilizando únicamente gestos previamente acordados. No puede hablar. Debe controlar entradas, pausas, intensidad y final.
ACT 255;El Reto de la Transformación;9;10;Ninguno;Comprender cómo los cambios musicales modifican una composición.;20 minutos;"Un equipo crea una pieza corta. Después otro equipo recibe tarjetas de transformación como ""más lenta"", ""más misteriosa"", ""sin palabras"" o ""solo sonidos graves"" y debe reinterpretarla."
ACT 256;La Sala de Escape Musical;9;10;Ninguno;Combinar resolución de problemas, memoria y conocimientos musicales.;30 minutos;Preparar varios acertijos musicales encadenados. Cada respuesta correcta proporciona una pista para resolver el siguiente reto hasta encontrar una palabra o código final.
ACT 257;El Productor Musical;9;10;Instrumentos variados;Desarrollar planificación, selección de sonidos y trabajo colaborativo.;25 minutos;Cada equipo debe diseñar una pequeña producción musical. Decide instrumentos, orden de participación, duración de cada sección y forma de comenzar y terminar.
ACT 258;La Batalla de las Estructuras;9;10;Percusión corporal;Comprender diferentes formas de organizar una composición.;20 minutos;Dividir la clase en equipos. Cada equipo recibe los mismos elementos musicales pero debe organizarlos de una manera diferente. Después presentan sus estructuras y comparan los resultados.
ACT 259;El Crítico Musical;9;10;Ninguno;Desarrollar escucha analítica y capacidad para formular opiniones constructivas.;20 minutos;Escuchar una pequeña interpretación de un compañero o grupo. Los niños deben identificar un aspecto que funcionó bien y una sugerencia concreta para mejorarla.
ACT 260;La Partitura Humana;9;10;Percusión corporal;Representar visualmente una estructura musical mediante posiciones corporales.;20 minutos;Cada participante representa una sección o elemento musical mediante una posición. El docente organiza a los niños en el espacio para construir una partitura viviente que después interpretan.
ACT 261;El Reto del Tiempo Limitado;9;10;Instrumentos variados;Desarrollar planificación rápida, creatividad y cooperación.;15 minutos;Los equipos reciben un instrumento y una consigna musical. Tienen cinco minutos para preparar una presentación de máximo treinta segundos utilizando los recursos disponibles.
ACT 262;El Compositor y su Editor;9;10;Ninguno;Desarrollar revisión y mejora de una creación musical.;20 minutos;Un niño crea una pequeña composición y otro actúa como editor. El editor debe proponer un cambio concreto para mejorarla, como modificar el inicio, añadir contraste o cambiar el final.
ACT 263;El Consejo Musical;5;10;Ninguno;Desarrollar toma de decisiones grupales y argumentación adaptada a diferentes edades.;15 minutos;Presentar una decisión como elegir una canción para una celebración. Cada participante propone una opción y explica brevemente su razón. El grupo vota y debe respetar la decisión colectiva.
ACT 264;La Cadena de Categorías;5;10;Instrumentos variados;Desarrollar rapidez mental y conocimiento del vocabulario musical.;10 minutos;El docente anuncia una categoría como instrumentos de cuerda, sonidos de la naturaleza o canciones para dormir. Los niños, por turnos, deben aportar ejemplos sin repetir los anteriores.
ACT 265;El Árbol de Decisiones Musicales;5;10;Ninguno;Desarrollar pensamiento secuencial y comprensión de consecuencias musicales.;15 minutos;"Crear un recorrido de decisiones: si quieres una música tranquila ve por este camino; si quieres una música energética ve por otro. Los niños siguen diferentes rutas y crean una pequeña experiencia musical según sus elecciones."
ACT 266;La Colección del Curador;5;10;Instrumentos variados;Desarrollar clasificación y creación de colecciones según criterios propios.;20 minutos;Los equipos reciben imágenes o instrumentos y deben crear una colección siguiendo un criterio inventado por ellos. Después presentan el criterio utilizado y explican por qué cada elemento pertenece al grupo.
ACT 267;El Rompecabezas Cooperativo de Sonidos;5;10;Instrumentos variados;Desarrollar cooperación y dependencia positiva entre participantes.;20 minutos;Cada niño recibe una parte diferente de una composición y ninguno puede conocer la pieza completa. Deben escuchar a los demás y organizarse para descubrir cómo unir sus partes.
ACT 268;La Ruleta de Restricciones;5;10;Ninguno;Estimular creatividad y adaptación a condiciones cambiantes.;15 minutos;La ruleta contiene restricciones como cantar sin palabras, utilizar solo movimientos, trabajar en silencio o utilizar tres sonidos. Los niños deben crear una pequeña propuesta respetando la condición obtenida.
ACT 269;El Festival de los Miniensambles;5;10;Instrumentos variados;Desarrollar colaboración y preparación de pequeñas interpretaciones.;25 minutos;Formar grupos de tres o cuatro niños. Cada grupo recibe un instrumento o recurso diferente y dispone de unos minutos para preparar una pieza de máximo un minuto.
ACT 270;El Intercambio de Composiciones;5;10;Percusión corporal;Desarrollar lectura, interpretación y comunicación musical.;20 minutos;Cada grupo crea una composición breve y la representa mediante símbolos o instrucciones. Después entrega su creación a otro grupo, que debe interpretarla sin recibir explicaciones adicionales.
ACT 271;La Mesa de Mezclas Musical;5;10;Instrumentos variados;Comprender cómo diferentes elementos pueden entrar, salir y combinarse dentro de una composición.;20 minutos;Asignar a cada grupo un sonido diferente. Un niño actúa como encargado de mezcla y decide cuándo cada grupo entra, sale, aumenta o disminuye su participación.
ACT 272;El Desafío del Cambio Mínimo;5;10;Ninguno;Desarrollar atención a pequeños cambios dentro de una secuencia musical.;15 minutos;El docente presenta una secuencia de movimientos o sonidos. Después modifica únicamente un elemento muy pequeño. Los niños deben identificar qué cambió y describirlo.
ACT 273;La Misión de los Cinco Recursos;5;10;Instrumentos variados;Desarrollar creatividad utilizando recursos limitados.;20 minutos;Cada equipo recibe únicamente cinco recursos sonoros disponibles. Debe crear una presentación musical completa utilizando exclusivamente esos recursos y organizándolos de manera creativa.
ACT 274;Las Burbujas Musicales;3;4;Ninguno;Desarrollar control corporal y reacción ante estímulos musicales sencillos.;8 minutos;"El docente hace sonar música y los niños imaginan que son burbujas flotando por el espacio. Cuando la música se vuelve suave, flotan lentamente; cuando aumenta, suben y bajan con movimientos más amplios."
ACT 275;Los Dedos Cantores;3;4;Ninguno;Explorar la voz y desarrollar coordinación entre movimiento y sonido.;8 minutos;Los niños utilizan los dedos como pequeños personajes. Cada dedo tiene una forma de cantar su nombre: muy agudo, muy grave, largo, corto o susurrado. El docente va indicando qué dedo aparece.
ACT 276;La Cueva Musical;3;4;Ninguno;Explorar contraste entre sonidos y silencio mediante juego simbólico.;8 minutos;Los niños imaginan que entran en una cueva. Dentro deben caminar muy silenciosamente y producir pequeños sonidos cuando encuentran elementos imaginarios como piedras, murciélagos o gotas de agua.
ACT 277;El Sol y la Luna;3;4;Ninguno;Desarrollar asociación entre estímulos visuales y movimiento corporal.;8 minutos;Cuando el docente muestra un sol, los niños se estiran y realizan movimientos amplios. Cuando muestra una luna, se hacen pequeños y realizan movimientos lentos y tranquilos.
ACT 278;La Semilla Sonora;3;4;Ninguno;Estimular imaginación, control corporal y expresión vocal.;10 minutos;Los niños se sientan como semillas. El docente produce sonidos que representan lluvia, viento y sol. Cada sonido provoca una etapa diferente del crecimiento hasta convertirse en una planta que produce su propio sonido.
ACT 279;El Caracol Musical;3;4;Ninguno;Trabajar velocidad de movimiento y control corporal.;8 minutos;"Los niños se desplazan como caracoles siguiendo una música lenta. Cuando escuchan una señal especial deben esconderse dentro de su ""caparazón"" y permanecer quietos hasta escuchar otra señal."
ACT 280;La Fiesta de las Manos;3;4;Percusión corporal;Explorar diferentes posibilidades sonoras de las manos.;8 minutos;Los niños imaginan que sus manos asisten a una fiesta. Pueden saludarse, aplaudir, frotarse, tocar las piernas o hacer pequeños golpecitos siguiendo las indicaciones del docente.
ACT 281;El Pequeño Explorador;3;4;Objetos sonoros;Estimular exploración auditiva y descubrimiento de diferentes sonidos.;10 minutos;Colocar tres objetos seguros que produzcan sonidos diferentes. Cada niño puede explorar uno durante unos segundos y después elegir cuál sonido le gusta más mediante una señal corporal.
ACT 282;La Maleta de las Reglas;5;6;Ninguno;Desarrollar seguimiento de reglas sencillas y memoria de instrucciones.;12 minutos;"Preparar tarjetas con pequeñas reglas como ""cuando escuches una palmada, salta"" o ""cuando escuches dos palmadas, gira"". Añadir progresivamente nuevas reglas para aumentar el desafío."
ACT 283;El Trueque Musical;5;6;Percusión corporal;Desarrollar toma de decisiones y reconocimiento de diferentes sonidos corporales.;15 minutos;Cada niño recibe tres tarjetas con sonidos corporales. Puede intercambiar una tarjeta con otro compañero para conseguir una combinación que le guste más. Al final interpreta las tres tarjetas que conserva.
ACT 284;Las Casas de los Sonidos;5;6;Instrumentos variados;Clasificar sonidos mediante características fácilmente reconocibles.;12 minutos;Crear tres casas: sonidos largos, sonidos cortos y sonidos repetidos. El docente produce diferentes sonidos y los niños deben desplazarse hasta la casa que corresponda.
ACT 285;El Rompecabezas de Movimientos;5;6;Ninguno;Desarrollar secuenciación y memoria corporal.;15 minutos;Entregar a cada niño una tarjeta con un movimiento. Los niños deben organizarse físicamente para formar una secuencia y después realizarla en el orden establecido.
ACT 286;La Tienda de Canciones;5;6;Ninguno;Desarrollar selección musical y asociación entre canciones y situaciones.;15 minutos;"Crear tarjetas con situaciones como cumpleaños, dormir, viajar o jugar. Los niños reciben fichas y pueden ""comprar"" una tarjeta de canción que consideren adecuada para cada situación."
ACT 287;Los Calcetines Rítmicos;5;6;Percusión corporal;Trabajar coordinación bilateral y creación de patrones sencillos.;10 minutos;Los niños utilizan los pies como instrumentos. El docente propone combinaciones como pie derecho, pie izquierdo, ambos pies y pausa. Después los niños crean pequeñas secuencias propias.
ACT 288;La Postal que Cambia;5;6;Ninguno;Relacionar música con imaginación y transformación de escenas.;15 minutos;Mostrar una imagen de un lugar como playa, bosque o ciudad. Los niños representan corporalmente la escena mientras cambia la música, imaginando que el mismo lugar se transforma.
ACT 289;El Ascensor Musical;5;6;Ninguno;Comprender cambios progresivos de altura y movimiento.;10 minutos;"Los niños imaginan que están dentro de un ascensor. Cuando la música sube, levantan progresivamente el cuerpo; cuando baja, descienden. Las pausas representan momentos en que el ascensor se detiene."
ACT 290;La Rueda de los Sonidos;5;6;Instrumentos de percusión;Desarrollar reconocimiento visual y respuesta rápida.;12 minutos;Colocar imágenes de diferentes sonidos formando un círculo. Un niño gira una flecha y debe producir o representar el sonido indicado por la imagen seleccionada.
ACT 291;La Caja de Parejas;5;6;Ninguno;Desarrollar memoria y asociación entre conceptos musicales.;15 minutos;Preparar tarjetas por parejas: rápido-lento, fuerte-suave, agudo-grave, largo-corto. Colocarlas boca abajo y los niños deben encontrar las parejas mediante turnos.
ACT 292;El Reparto de la Banda;5;6;Instrumentos variados;Comprender diferentes funciones dentro de una pequeña agrupación musical.;15 minutos;Entregar tarjetas de roles como pulso, efectos, canción y movimiento. Los niños reciben un rol y deben descubrir qué puede aportar cada función a una interpretación grupal.
ACT 293;El Mapa del Ritmo;7;8;Percusión corporal;Desarrollar lectura de símbolos y planificación de secuencias.;20 minutos;Crear un mapa con casillas que contengan símbolos para diferentes sonidos. Los equipos deben recorrer el mapa siguiendo las casillas y convertir el recorrido completo en una composición rítmica.
ACT 294;La Bolsa de Intercambios;7;8;Instrumentos de percusión;Desarrollar negociación, cooperación y selección de recursos musicales.;20 minutos;Cada equipo recibe diferentes tarjetas de sonidos. Algunos equipos tendrán sonidos repetidos y otros necesitarán ciertos elementos. Deben negociar intercambios para construir una composición completa.
ACT 295;El Árbitro del Ritmo;7;8;Percusión corporal;Desarrollar escucha crítica y capacidad para comprobar reglas musicales.;15 minutos;"Un niño recibe una tarjeta con una regla secreta, como ""el patrón debe tener cuatro sonidos"". Los demás crean patrones y el árbitro determina cuáles cumplen la regla sin revelar inicialmente cuál es."
ACT 296;El Dominó de Decisiones;7;8;Ninguno;Desarrollar pensamiento secuencial y comprensión de consecuencias.;20 minutos;Preparar tarjetas donde cada una presenta una decisión musical y una consecuencia. Los niños deben construir una cadena lógica conectando decisiones con resultados hasta completar un recorrido.
ACT 297;La Carrera de Constructores;7;8;Materiales reciclados;Desarrollar creatividad y construcción bajo restricciones.;25 minutos;Los equipos reciben materiales limitados y deben construir un objeto que produzca sonido. Después deben demostrar al grupo tres formas diferentes de utilizarlo musicalmente.
ACT 298;La Carta Secreta del Director;7;8;Instrumentos variados;Desarrollar liderazgo y capacidad de interpretar instrucciones ocultas.;15 minutos;Un niño recibe una tarjeta con instrucciones secretas sobre cómo debe comportarse la interpretación. Debe dirigir al grupo para conseguir el resultado sin mostrar la tarjeta.
ACT 299;El Reto del Sonido Exacto;7;8;Instrumentos variados;Desarrollar precisión auditiva y control de la interpretación.;15 minutos;El docente establece una condición concreta como tocar tres veces, mantener un sonido durante dos segundos o realizar dos sonidos separados por una pausa. Los niños intentan reproducir exactamente la condición.
ACT 300;La Ruta de las Decisiones;7;8;Ninguno;Desarrollar autonomía y creación musical a partir de elecciones sucesivas.;20 minutos;Crear un recorrido con bifurcaciones. En cada punto los niños deben elegir entre opciones como cantar o tocar, rápido o lento, fuerte o suave. Al final interpretan la combinación de decisiones tomada.
ACT 301;La Caja Negra Musical;7;8;Ninguno;Desarrollar pensamiento deductivo y reconocimiento de relaciones musicales.;15 minutos;El docente establece una regla secreta para una caja imaginaria. Presenta ejemplos de sonidos que pueden entrar y otros que no. Los niños analizan los ejemplos e intentan descubrir la regla.
ACT 302;La Asamblea de Canciones;7;8;Ninguno;Desarrollar argumentación y toma de decisiones democrática.;20 minutos;Presentar tres canciones posibles para una actividad. Cada niño debe defender una opción utilizando al menos una razón musical. Después se realiza una votación y se ejecuta la canción ganadora.
ACT 303;La Misión de los Recursos Perdidos;7;8;Instrumentos variados;Desarrollar cooperación y resolución de problemas.;20 minutos;Cada equipo recibe una composición incompleta y varios recursos musicales. Algunas partes necesarias están repartidas entre equipos. Deben colaborar e intercambiar recursos para reconstruir la pieza.
ACT 304;La Ficha de Poder Musical;7;8;Percusión corporal;Introducir estrategia sencilla y toma de decisiones durante una actividad rítmica.;20 minutos;Cada niño recibe una ficha de poder que puede utilizar una sola vez para pedir una repetición, cambiar el tempo, añadir un sonido o modificar una regla durante una composición grupal.
ACT 305;El Inspector de Secuencias;9;10;Ninguno;Desarrollar análisis de estructuras y detección precisa de errores.;20 minutos;El docente presenta una secuencia de varios movimientos o sonidos. Después realiza una segunda versión con dos modificaciones. Los niños deben identificar exactamente qué elementos cambiaron y en qué posición.
ACT 306;La Bolsa de Composición;9;10;Ninguno;Desarrollar composición utilizando elementos aleatorios.;25 minutos;Preparar tarjetas separadas en categorías de ritmo, dinámica, movimiento y timbre. Cada estudiante extrae una tarjeta de cada categoría y debe construir una propuesta musical respetando todas las condiciones.
ACT 307;El Editor Musical;9;10;Ninguno;Desarrollar capacidad de análisis y mejora de composiciones.;20 minutos;Un equipo presenta una pieza corta. Otro equipo actúa como editor y debe identificar dos elementos que funcionan bien y proponer un cambio específico que mejore la estructura, contraste o final.
ACT 308;El Mercado de Recursos Musicales;9;10;Instrumentos variados;Desarrollar planificación, negociación y administración de recursos.;25 minutos;Cada equipo recibe una cantidad limitada de fichas. Diferentes instrumentos, efectos y recursos musicales tienen un costo. Los equipos deben decidir en qué invertir para preparar la mejor presentación posible.
ACT 309;La Partitura Fragmentada;9;10;Ninguno;Desarrollar reconstrucción de estructuras musicales a partir de información parcial.;20 minutos;Entregar a diferentes estudiantes fragmentos de instrucciones de una composición. Ninguno posee la información completa. Deben comunicarse, ordenar las piezas y reconstruir colectivamente la partitura.
ACT 310;El Tribunal del Ritmo;9;10;Percusión corporal;Desarrollar análisis, argumentación y evaluación musical.;20 minutos;Presentar dos interpretaciones diferentes del mismo patrón. Un grupo actúa como jurado y debe evaluar aspectos concretos como precisión, regularidad y coordinación, justificando su decisión.
ACT 311;La Composición con Presupuesto;9;10;Instrumentos variados;Desarrollar planificación y toma de decisiones bajo restricciones.;25 minutos;Cada instrumento o recurso tiene un valor ficticio y cada equipo recibe un presupuesto limitado. Deben elegir qué comprar para crear una pieza de máximo un minuto y explicar sus decisiones.
ACT 312;El Código de las Cuatro Capas;9;10;Instrumentos variados;Desarrollar comprensión de estructura y coordinación de múltiples elementos.;25 minutos;Cada equipo debe diseñar cuatro capas musicales diferentes: pulso, ritmo, efecto y melodía o voz. Después decide cuándo aparece cada capa y crea una composición organizada.
ACT 313;La Partitura Perdida;9;10;Ninguno;Desarrollar reconstrucción musical mediante pistas y razonamiento.;25 minutos;Entregar pistas sobre una composición desaparecida: comienza suave, contiene una repetición, cambia de velocidad y termina con silencio. Los equipos deben reconstruir una versión que cumpla todas las pistas.
ACT 314;El Productor y los Músicos;9;10;Instrumentos variados;Desarrollar liderazgo, comunicación y planificación de una producción musical.;25 minutos;Un estudiante actúa como productor y los demás como músicos. El productor debe organizar la entrada de cada participante, definir estructura, ensayar y presentar la pieza sin tocar directamente.
ACT 315;El Reto de la Información Incompleta;9;10;Ninguno;Desarrollar comunicación estratégica y resolución cooperativa de problemas.;25 minutos;Cada miembro del equipo recibe información diferente sobre una composición. Solo podrán resolver el reto si todos comparten correctamente sus datos y descubren cómo relacionarlos.
ACT 316;El Laboratorio de Variaciones;9;10;Percusión corporal;Comprender cómo pequeñas modificaciones transforman una composición.;20 minutos;Crear un patrón base. Los estudiantes deben producir cuatro variaciones cambiando únicamente un elemento cada vez: duración, orden, intensidad o pausa. Después comparan las versiones.
ACT 317;El Compositor con Restricciones;9;10;Ninguno;Desarrollar creatividad avanzada bajo múltiples condiciones simultáneas.;25 minutos;Cada equipo recibe cuatro restricciones al azar, por ejemplo comenzar en silencio, utilizar solo tres sonidos, incluir una repetición y terminar con un sonido largo. Deben crear una pieza que cumpla todas.
ACT 318;El Desafío del Ensayo;9;10;Instrumentos variados;Desarrollar planificación, organización y capacidad de mejorar una interpretación.;30 minutos;Cada grupo realiza primero una interpretación sin preparación. Después dispone de cinco minutos para identificar problemas, repartir responsabilidades y ensayar una segunda versión mejorada.
ACT 319;El Crítico Anónimo;9;10;Ninguno;Desarrollar escucha analítica y capacidad de recibir retroalimentación.;20 minutos;Cada equipo escucha una interpretación sin saber quién la realizó. Debe escribir dos fortalezas y una recomendación concreta. Después se revela el grupo y se comparan las observaciones.
ACT 320;La Negociación Musical;9;10;Instrumentos variados;Desarrollar negociación, estrategia y toma de decisiones colectivas.;25 minutos;Cada equipo recibe una necesidad diferente para crear una composición y recursos limitados. Para conseguir los instrumentos o sonidos que necesita debe negociar con otros equipos y llegar a acuerdos.
ACT 321;La Máquina de Prioridades;9;10;Ninguno;Desarrollar capacidad para establecer prioridades dentro de una creación musical.;20 minutos;Presentar diez posibles elementos para una pieza musical. Los equipos solo pueden elegir cinco y deben justificar cuáles consideran indispensables para que la composición funcione.
ACT 322;El Reto del Director Sustituto;9;10;Instrumentos variados;Desarrollar liderazgo flexible y capacidad para mantener una estructura creada por otro.;20 minutos;Un estudiante diseña una estructura musical y dirige la primera ejecución. Después otro estudiante debe sustituirlo y mantener la estructura sin recibir nuevas instrucciones.
ACT 323;La Búsqueda de la Regla Oculta;5;10;Ninguno;Desarrollar observación, razonamiento y descubrimiento progresivo de reglas.;15 minutos;El docente selecciona una regla secreta relacionada con movimientos o sonidos. Presenta ejemplos que cumplen y no cumplen la regla. Los niños deben formular hipótesis hasta descubrirla.
ACT 324;El Trueque de Ideas;5;10;Ninguno;Desarrollar cooperación, intercambio y transformación de ideas musicales.;20 minutos;Cada participante crea una idea musical breve y recibe una tarjeta. Después intercambia su tarjeta con otro compañero y debe transformar la idea recibida sin perder su característica principal.
